Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age
China,1440297825,1445837915,9388211,-348399.0,,38
India,1382345085,1395931716,2973190,-532687.0,,28
United States,331341050,333278784,9147420,954806.0,,38
Indonesia,274021604,276919651,1811570,-98955.0,,30
Pakistan,221612785,225939807,770880,-233379.0,,23
Brazil,212821986,214331876,8358140,21200.0,,33
Nigeria,206984347,212160337,910770,-60000.0,,18
Bangladesh,164972348,166615570,130170,-369501.0,,28
Russia,145945524,146007730,16376870,182456.0,,40
Mexico,129166028,130523252,1943950,-60000.0,,29
Japan,126407422,126023582,364555,71560.0,,48
Ethiopia,115434444,118319302,1000000,30000.0,,19
Philippines,109830324,111294787,298170,-67152.0,,26
Egypt,102659126,104605457,995450,-38033.0,,25
Vietnam,97490013,98366486,310070,-80000.0,,32
DR Congo,90003954,92774790,2267050,23861.0,,17
Turkey,84495243,85404695,769630,283922.0,,32
Iran,84176929,85255972,1628550,-55000.0,,32
Germany,83830972,84097869,348560,543822.0,,46
Thailand,69830779,70005175,510890,19444.0,,40
United Kingdom,67948282,68304121,241930,260650.0,,40
France,65298930,65442713,547557,36527.0,,42
Italy,60446035,60357786,294140,148943.0,,47
Tanzania,60012400,61741155,885800,-40076.0,,18
South Africa,59436725,60187145,1213090,145405.0,,28
Myanmar,54473253,54837633,653290,-163313.0,,29
Kenya,53968739,55166062,569140,-10000.0,,20
South Korea,51276977,51320854,97230,11731.0,,44
Colombia,50976248,51519696,1109500,204796.0,,31
Spain,46757980,46775982,498800,40000.0,,45
Uganda,45974931,47446344,199810,168694.0,,17
Argentina,45267449,45682546,2736690,4800.0,,32
Algeria,43984569,44782559,2381740,-10000.0,,29
Sudan,44019263,45055285,1765048,-50000.0,,20
Ukraine,43686577,43426701,579320,10000.0,,41
Iraq,40372771,41285481,434320,7834.0,,21
Afghanistan,39074280,39960872,652860,-62920.0,,18
Poland,37839255,37798098,306230,-29395.0,,42
Canada,37799407,38130514,9093510,242032.0,,41
Morocco,36985624,37424415,446300,-51419.0,,30
Saudi Arabia,34905942,35451285,2149690,134979.0,,32
Uzbekistan,33551824,34039311,425400,-8863.0,,28
Peru,33050211,33511612,1280000,99069.0,,31
Angola,33032075,34073052,1246700,6413.0,,17
Malaysia,32436963,32853185,328550,50000.0,,30
Mozambique,31398811,32288210,786380,-5000.0,,18
Ghana,31181428,31836512,227540,-10000.0,,22
Yemen,29935468,30599510,527970,-30000.0,,20
Nepal,29225196,29753294,143350,41710.0,,25
Venezuela,28421581,28341692,882050,-653249.0,,30
Madagascar,27808395,28530106,581795,-1500.0,,20
Cameroon,26655083,27324566,472710,-4800.0,,19
Côte d'Ivoire,26486282,27148012,318000,-8000.0,,19
North Korea,25798588,25911243,120410,-5403.0,,35
Australia,25550683,25847369,7682300,158246.0,,38
Niger,24346468,25242397,1266700,4000.0,,15
Taiwan,23824369,23867268,35410,30001.0,,42
Sri Lanka,21428970,21518486,62710,-97986.0,,34
Burkina Faso,20997293,21579188,273600,-25000.0,,18
Mali,20346106,20938908,1220190,-40000.0,,16
Romania,19214608,19087742,230170,-73999.0,,43
Malawi,19211425,19712630,94280,-16053.0,,18
Chile,19144605,19308768,743532,111708.0,,35
Kazakhstan,18815231,19040511,2699700,-18000.0,,31
Zambia,18468257,18991182,743390,-8000.0,,18
Guatemala,17971382,18305478,107160,-9215.0,,23
Ecuador,17688599,17957991,248360,36400.0,,28
Syria,17571053,18001576,183630,-427391.0,,26
Netherlands,17141544,17179286,33720,16000.0,,43
Senegal,16816539,17264102,192530,-20000.0,,19
Cambodia,16758448,16990871,176520,-30000.0,,26
Chad,16502877,16981865,1259200,2000.0,,17
Somalia,15965848,16416165,627340,-40000.0,,17
Zimbabwe,14899771,15117227,386850,-116858.0,,19
Guinea,13191279,13552828,245720,-4000.0,,18
Rwanda,13005303,13330571,24670,-9000.0,,20
Benin,12175480,12497529,112760,-2000.0,,19
Burundi,11948454,12308658,25680,2001.0,,17
Tunisia,11839918,11963818,155360,-4000.0,,33
Bolivia,11700207,11860128,1083300,-9504.0,,26
Belgium,11598451,11648746,30280,48000.0,,42
Haiti,11426356,11565807,27560,-35000.0,,24
Cuba,11325391,11318524,106440,-14400.0,,42
South Sudan,11216250,11347862,610952,-174200.0,,19
Dominican Republic,10866667,10975619,48320,-30000.0,,28
Czech Republic (Czechia),10712481,10732253,77240,22011.0,,43
Greece,10413936,10363535,128900,-16000.0,,46
Jordan,10220604,10322044,88780,10220.0,,24
Portugal,10191409,10161931,91590,-6000.0,,46
Azerbaijan,10154978,10246437,82658,1200.0,,32
Sweden,10110233,10173119,410340,40000.0,,41
Honduras,9931333,10089823,111890,-6800.0,,24
United Arab Emirates,9910892,10030765,83600,40000.0,,33
Hungary,9655983,9631655,90530,6000.0,,43
Tajikistan,9573310,9789937,139960,-20000.0,,22
Belarus,9448772,9445684,202910,8730.0,,40
Austria,9015361,9066657,82409,65000.0,,43
Papua New Guinea,8975531,9146446,452860,-800.0,,22
Serbia,8731081,8696217,87460,4000.0,,42
Israel,8678517,8814675,21640,10000.0,,30
Switzerland,8665615,8728872,39516,52000.0,,43
Togo,8310934,8507292,54390,-2000.0,,19
Sierra Leone,8004158,8167926,72180,-4200.0,,19
Hong Kong,7507523,7568350,1050,29308.0,,45
Laos,7293542,7399647,230800,-14704.0,,24
Paraguay,7147553,7235455,397300,-16556.0,,26
Bulgaria,6939018,6887344,108560,-4800.0,,45
Libya,6887247,6981087,1759540,-1999.0,,29
Lebanon,6819976,6789708,10230,-30012.0,,30
Nicaragua,6638075,6717127,120340,-21272.0,,26
Kyrgyzstan,6542426,6650771,191800,-4000.0,,26
El Salvador,6491923,6524575,20720,-40539.0,,28
Turkmenistan,6046292,6135403,469930,-5000.0,,27
Singapore,5858322,5904327,700,27028.0,,42
Denmark,5795780,5816106,42430,15200.0,,42
Finland,5542237,5550801,303890,14000.0,,43
Congo,5540555,5678134,341500,-4000.0,,19
Slovakia,5460109,5462738,48088,1485.0,,41
Norway,5428594,5470978,365268,28000.0,,40
Oman,5128058,5259698,309500,87400.0,,31
State of Palestine,5121112,5241106,6020,-10563.0,,21
Costa Rica,5102158,5148715,51060,4200.0,,33
Liberia,5077411,5197718,96320,-5000.0,,19
Ireland,4947267,5002558,68890,23604.0,,38
Central African Republic,4843954,4928536,622980,-40000.0,,18
New Zealand,4829021,4868191,263310,14881.0,,38
Mauritania,4669775,4793737,1030700,5000.0,,20
Panama,4326296,4394624,74340,11200.0,,30
Kuwait,4281320,4344808,17820,39520.0,,37
Croatia,4100719,4075682,55960,-8001.0,,44
Moldova,4032294,4022994,32850,-1387.0,,38
Georgia,3987805,3980207,69490,-10000.0,,38
Eritrea,3554797,3604101,101000,-39858.0,,19
Uruguay,3475842,3487838,175020,-3000.0,,36
Bosnia and Herzegovina,3277152,3256971,51000,-21585.0,,43
Mongolia,3287242,3340365,1553560,-852.0,,28
Armenia,2964219,2969731,28470,-4998.0,,35
Jamaica,2963429,2976317,10830,-11332.0,,31
Qatar,2889284,2938270,11610,40000.0,,32
Albania,2877239,2874119,27400,-14000.0,,36
Puerto Rico,2846860,2774305,8870,-97986.0,,44
Lithuania,2715340,2678002,62674,-32780.0,,45
Namibia,2548663,2595038,823290,-4806.0,,22
Gambia,2427782,2496744,10120,-3087.0,,18
Botswana,2359585,2407515,566730,3000.0,,24
Gabon,2234448,2287603,257670,3260.0,,23
Lesotho,2145194,2162175,30360,-10047.0,,24
North Macedonia,2083359,2083274,25220,-1000.0,,39
Slovenia,2078989,2079273,20140,2000.0,,45
Guinea-Bissau,1975718,2022797,28120,-1399.0,,19
Latvia,1882408,1861863,62200,-14837.0,,44
Bahrain,1711057,1771460,760,47800.0,,32
Equatorial Guinea,1410419,1457418,28050,16000.0,,22
Trinidad and Tobago,1400283,1404798,5130,-800.0,,36
Estonia,1326693,1327580,42390,3911.0,,42
Timor-Leste,1322667,1347993,14870,-5385.0,,21
Mauritius,1272140,1274240,2030,0.0,,37
Cyprus,1208886,1217670,9240,5000.0,,37
Eswatini,1162233,1174267,17200,-8353.0,,21
Djibouti,990447,1004887,23180,900.0,,27
Fiji,897573,904065,18270,-6202.0,,28
Réunion,896422,902807,2500,-1256.0,,36
Comoros,872695,891410,1861,-2000.0,,20
Guyana,787215,791001,196850,-6000.0,,27
Bhutan,773069,781585,38117,320.0,,28
Solomon Islands,689671,706732,27990,-1600.0,,20
Macao,650846,659736,30,5000.0,,39
Montenegro,628080,628159,13450,-480.0,,39
Luxembourg,627704,637953,2590,9741.0,,40
Western Sahara,599769,614645,266000,5582.0,,28
Suriname,587541,592801,156000,-1000.0,,29
Cabo Verde,557026,563078,4030,-1342.0,,28
Maldives,542151,551742,300,11370.0,,30
Malta,441750,442921,320,900.0,,43
Brunei,438202,442396,5270,0.0,,32
Guadeloupe,400136,400204,1690,-1440.0,,44
Belize,398845,406120,22810,1200.0,,25
Bahamas,393893,397655,10010,1000.0,,32
Martinique,375213,374924,1060,-960.0,,47
Iceland,341628,343840,100250,380.0,,37
Vanuatu,308337,315600,12190,120.0,,21
French Guiana,299958,307808,82200,1200.0,,25
Barbados,287437,287787,430,-79.0,,40
New Caledonia,285972,288720,18280,502.0,,34
French Polynesia,281191,282812,3660,-1000.0,,34
Mayotte,273905,280570,375,0.0,,20
Sao Tome & Principe,219844,223947,960,-1680.0,,19
Samoa,198643,199960,2830,-2803.0,,22
Saint Lucia,183774,184611,610,0.0,,34
Channel Islands,174140,175744,190,1351.0,,43
Guam,169031,170512,540,-506.0,,31
Curaçao,164211,164880,444,515.0,,42
Kiribati,119760,121603,810,-800.0,,23
Micronesia,115231,116439,700,-600.0,,24
Grenada,112614,113134,340,-200.0,,32
St. Vincent & Grenadines,111002,111353,390,-200.0,,33
Aruba,106845,107297,180,201.0,,41
Tonga,105901,107102,720,-800.0,,22
U.S. Virgin Islands,104398,104245,350,-451.0,,43
Seychelles,98453,99061,460,-200.0,,34
Antigua and Barbuda,98069,98880,440,0.0,,34
Isle of Man,85112,85561,570,,,
Andorra,77287,77410,470,,,
Dominica,72017,72195,750,,,
Cayman Islands,65854,66628,240,,,
Bermuda,62237,62009,50,,,
Marshall Islands,59259,59658,180,,,
Northern Mariana Islands,57619,57962,460,,,
Greenland,56787,56885,410450,,,
American Samoa,55169,55048,200,,,
Saint Kitts & Nevis,53264,53640,260,,,
Faeroe Islands,48896,49081,1396,,,
Sint Maarten,42960,43448,34,,,
Monaco,39290,39568,1,,,
Turks and Caicos,38806,39332,950,,,
Saint Martin,38778,39442,53,,,
Liechtenstein,38147,38256,160,,,
San Marino,33944,34015,60,,,
Gibraltar,33689,33679,10,,,
British Virgin Islands,30266,30467,150,,,
Caribbean Netherlands,26265,26509,328,,,
Palau,18109,18195,460,,,
Cook Islands,17567,17583,240,,,
Anguilla,15026,15160,90,,,
Tuvalu,11817,11963,30,,,
Wallis & Futuna,11203,11010,140,,,
Nauru,10836,10904,20,,,
Saint Barthelemy,9882,9912,21,,,
Saint Helena,6080,6098,390,,,
Saint Pierre & Miquelon,5789,5761,230,,,
Montserrat,4993,4996,100,,,
Falkland Islands,3497,3600,12170,,,
Niue,1628,1639,260,,,
Tokelau,1360,1377,10,,,
Holy See,801,803,0,,,
